STEP,NAME,STANDARD,MODE,F+PIN,S+PIN,F-PIN,S-PIN,LLIMIT,HLIMIT,WAIT,AVERAGE,SKIP,COMPENSATE,MEASURE,RESULT
1,A1-B1,8,2,1,0,1,0,0,15,1,10,0,0,0,0
2,A2-B2,8,2,2,0,2,0,0,15,1,10,0,0,0,0
3,A3-B3,8,2,3,0,3,0,0,15,1,10,0,0,0,0
4,A4-B4,8,2,4,0,4,0,0,15,1,10,0,0,0,0
5,A5-B5,8,2,5,0,5,0,0,15,1,10,0,0,0,0
6,A6-B6,8,2,6,0,6,0,0,15,1,10,0,0,0,0
7,A7-B7,8,2,7,0,7,0,0,15,1,10,0,0,0,0
8,A8-B8,8,2,8,0,8,0,0,15,1,10,0,0,0,0
9,A9-B9,8,2,9,0,9,0,0,15,1,10,0,0,0,0
10,A10-B10,8,2,10,0,10,0,0,15,1,10,0,0,0,0
11,A11-B11,8,2,11,0,11,0,0,15,1,10,0,0,0,0
12,A12-B12,8,2,12,0,12,0,0,15,1,10,0,0,0,0
13,A13-B13,8,2,13,0,13,0,0,15,1,10,0,0,0,0
14,A14-B14,8,2,14,0,14,0,0,15,1,10,0,0,0,0
15,A15-B15,8,2,15,0,15,0,0,15,1,10,0,0,0,0
16,A16-B16,8,2,16,0,16,0,0,15,1,10,0,0,0,0
17,A17-B17,8,2,17,0,17,0,0,15,1,10,0,0,0,0
18,A18-B18,8,2,18,0,18,0,0,15,1,10,0,0,0,0
19,A19-B19,8,2,19,0,19,0,0,15,1,10,0,0,0,0
20,A20-B20,8,2,20,0,20,0,0,15,1,10,0,0,0,0
21,A21-B21,8,2,21,0,21,0,0,15,1,10,0,0,0,0
22,A22-B22,8,2,22,0,22,0,0,15,1,10,0,0,0,0
23,A23-B23,8,2,23,0,23,0,0,15,1,10,0,0,0,0
24,A24-B24,8,2,24,0,24,0,0,15,1,10,0,0,0,0
25,A25-B25,8,2,25,0,25,0,0,15,1,10,0,0,0,0
26,A26-B26,8,2,26,0,26,0,0,15,1,10,0,0,0,0
27,A27-B27,8,2,27,0,27,0,0,15,1,10,0,0,0,0
28,A28-B28,8,2,28,0,28,0,0,15,1,10,0,0,0,0
29,A29-B29,8,2,29,0,29,0,0,15,1,10,0,0,0,0
30,A30-B30,8,2,30,0,30,0,0,15,1,10,0,0,0,0
31,A31-B31,8,2,31,0,31,0,0,15,1,10,0,0,0,0
32,A32-B32,8,4,32,33,32,33,0,15,1,10,0,0,0,0
33,A33-B33,8,2,33,0,33,0,0,15,1,10,0,0,0,0
34,A34-B34,8,2,34,0,34,0,0,15,1,10,0,0,0,0
35,A35-B35,8,2,35,0,35,0,0,15,1,10,0,0,0,0
36,A36-B36,8,2,36,0,36,0,0,15,1,10,0,0,0,0
37,A37-B37,8,2,37,0,37,0,0,15,1,10,0,0,0,0
38,A38-B38,8,2,38,0,38,0,0,15,1,10,0,0,0,0
39,A39-B39,8,2,39,0,39,0,0,15,1,10,0,0,0,0
40,A40-B40,8,2,40,0,40,0,0,15,1,10,0,0,0,0
41,A41-B41,1,4,1,41,1,41,0,15,1,10,0,0,0,0
42,A42-B42,1,4,2,42,2,42,0,15,1,10,0,0,0,0
43,A43-B43,1,4,3,43,3,43,0,15,1,10,0,0,0,0
44,A44-B44,1,4,4,44,4,44,0,15,1,10,0,0,0,0
